Reach_ID,Receiving_Reach,Vegetation_Code,Elevation,Slope,Mannings_n,Infiltration_Rate,Hydraulic_Geom_ID,Length,Top_Width,Flow_Depth,Valley_Width,Valley_Mannings_n,Start_Diversion,Stop_Diversion,Travel_Time,Clay_Scour_Code,Silt_Scour_Code,Sand_Scour_Code,Small_Agg_Scour_Code,Large_Agg_Scour_Code,Valley_Clay_Scour_Code,Valley_Silt_Scour_Code,Valley_Sand_Scour_Code,Valley_Small_Agg_Scour_Code,Valley_Large_Agg_Scour_Code,Delivery_Ratio,Input_Units_Code
1,OUTLET,,68.13,0.00145,,,,0.00,,,,,,,,,,,,,,,,,,,1
2,1,,68.13,0.00145,,,,622.87,,,,,,,,,,,,,,,,,,,1
3,2,,70.92,0.01487,,,,282.55,,,,,,,,,,,,,,,,,,,1
4,2,,68.89,0.00403,,,,124.07,,,,,,,,,,,,,,,,,,,1
5,4,,69.49,0.00152,,,,460.53,,,,,,,,,,,,,,,,,,,1
6,5,,73.45,0.01072,,,,382.40,,,,,,,,,,,,,,,,,,,1
7,5,,70.22,0.00145,,,,485.04,,,,,,,,,,,,,,,,,,,1
8,7,,70.80,0.00163,,,,307.79,,,,,,,,,,,,,,,,,,,1
9,8,,75.18,0.01144,,,,428.35,,,,,,,,,,,,,,,,,,,1
10,8,,71.31,0.00304,,,,164.82,,,,,,,,,,,,,,,,,,,1
11,10,,72.46,0.00390,,,,872.54,,,,,,,,,,,,,,,,,,,1
12,11,,74.90,0.00001,,,,66.94,,,,,,,,,,,,,,,,,,,1
13,12,,77.39,0.02453,,,,110.10,,,,,,,,,,,,,,,,,,,1
14,12,,75.00,0.00125,,,,240.55,,,,,,,,,,,,,,,,,,,1
15,14,,75.61,0.00195,,,,308.52,,,,,,,,,,,,,,,,,,,1
16,15,,79.15,0.01030,,,,359.43,,,,,,,,,,,,,,,,,,,1
17,15,,75.86,0.00174,,,,114.94,,,,,,,,,,,,,,,,,,,1
18,17,,76.76,0.00254,,,,669.59,,,,,,,,,,,,,,,,,,,1
19,18,,77.70,0.00001,,,,57.73,,,,,,,,,,,,,,,,,,,1
20,19,,80.56,0.01240,,,,370.92,,,,,,,,,,,,,,,,,,,1
21,20,,83.51,0.01308,,,,229.49,,,,,,,,,,,,,,,,,,,1
22,20,,84.43,0.01109,,,,324.76,,,,,,,,,,,,,,,,,,,1
23,19,,77.70,0.00001,,,,52.46,,,,,,,,,,,,,,,,,,,1
24,23,,81.91,0.00853,,,,691.53,,,,,,,,,,,,,,,,,,,1
25,23,,78.56,0.00182,,,,771.45,,,,,,,,,,,,,,,,,,,1
26,25,,79.62,0.00258,,,,348.89,,,,,,,,,,,,,,,,,,,1
27,26,,82.81,0.01609,,,,348.07,,,,,,,,,,,,,,,,,,,1
28,27,,87.32,0.01167,,,,522.71,,,,,,,,,,,,,,,,,,,1
29,27,,85.60,0.00001,,,,545.17,,,,,,,,,,,,,,,,,,,1
30,29,,87.95,0.01002,,,,488.77,,,,,,,,,,,,,,,,,,,1
31,29,,85.61,0.00024,,,,411.29,,,,,,,,,,,,,,,,,,,1
32,31,,86.12,0.00349,,,,258.46,,,,,,,,,,,,,,,,,,,1
33,32,,89.21,0.02693,,,,137.40,,,,,,,,,,,,,,,,,,,1
34,32,,87.26,0.00564,,,,177.55,,,,,,,,,,,,,,,,,,,1
35,34,,91.26,0.01593,,,,464.56,,,,,,,,,,,,,,,,,,,1
36,34,,88.53,0.00424,,,,377.43,,,,,,,,,,,,,,,,,,,1
37,36,,93.85,0.01847,,,,536.17,,,,,,,,,,,,,,,,,,,1
38,36,,90.66,0.01957,,,,301.58,,,,,,,,,,,,,,,,,,,1
39,38,,96.90,0.00904,,,,719.38,,,,,,,,,,,,,,,,,,,1
40,38,,97.28,0.00786,,,,1044.23,,,,,,,,,,,,,,,,,,,1
41,31,,87.70,0.00745,,,,993.57,,,,,,,,,,,,,,,,,,,1
42,41,,93.10,0.00001,,,,488.43,,,,,,,,,,,,,,,,,,,1
43,42,,95.30,0.00299,,,,2076.16,,,,,,,,,,,,,,,,,,,1
44,43,,100.89,0.01752,,,,125.61,,,,,,,,,,,,,,,,,,,1
45,43,,100.94,0.00460,,,,565.40,,,,,,,,,,,,,,,,,,,1
46,45,,106.19,0.01044,,,,1092.57,,,,,,,,,,,,,,,,,,,1
47,45,,105.64,0.01289,,,,504.68,,,,,,,,,,,,,,,,,,,1
48,42,,93.16,0.00101,,,,393.20,,,,,,,,,,,,,,,,,,,1
49,48,,94.94,0.00637,,,,439.49,,,,,,,,,,,,,,,,,,,1
50,49,,101.92,0.01452,,,,798.84,,,,,,,,,,,,,,,,,,,1
51,49,,99.64,0.03615,,,,254.52,,,,,,,,,,,,,,,,,,,1
52,48,,96.51,0.02433,,,,287.74,,,,,,,,,,,,,,,,,,,1
53,41,,95.09,0.00982,,,,631.57,,,,,,,,,,,,,,,,,,,1
54,26,,84.15,0.00620,,,,1065.78,,,,,,,,,,,,,,,,,,,1
55,54,,91.35,0.00958,,,,1023.11,,,,,,,,,,,,,,,,,,,1
56,54,,86.87,0.00515,,,,155.40,,,,,,,,,,,,,,,,,,,1
57,56,,96.20,0.00688,,,,3344.06,,,,,,,,,,,,,,,,,,,1
58,56,,90.77,0.01155,,,,554.47,,,,,,,,,,,,,,,,,,,1
59,25,,85.64,0.00912,,,,1085.67,,,,,,,,,,,,,,,,,,,1
60,18,,80.19,0.00893,,,,526.44,,,,,,,,,,,,,,,,,,,1
61,60,,86.11,0.01081,,,,990.23,,,,,,,,,,,,,,,,,,,1
62,61,,93.89,0.00771,,,,376.40,,,,,,,,,,,,,,,,,,,1
63,61,,93.10,0.00001,,,,19.24,,,,,,,,,,,,,,,,,,,1
64,63,,93.63,0.00462,,,,736.69,,,,,,,,,,,,,,,,,,,1
65,63,,93.40,0.00477,,,,482.04,,,,,,,,,,,,,,,,,,,1
66,60,,86.04,0.01412,,,,510.07,,,,,,,,,,,,,,,,,,,1
67,17,,79.01,0.00983,,,,356.31,,,,,,,,,,,,,,,,,,,1
68,14,,86.24,0.00778,,,,2982.77,,,,,,,,,,,,,,,,,,,1
69,11,,77.13,0.02070,,,,125.61,,,,,,,,,,,,,,,,,,,1
70,10,,83.84,0.01394,,,,1205.23,,,,,,,,,,,,,,,,,,,1
71,70,,89.26,0.00820,,,,219.55,,,,,,,,,,,,,,,,,,,1
72,70,,89.15,0.01480,,,,128.40,,,,,,,,,,,,,,,,,,,1
73,7,,77.45,0.02257,,,,474.07,,,,,,,,,,,,,,,,,,,1
74,4,,77.25,0.01041,,,,1547.65,,,,,,,,,,,,,,,,,,,1
