Soil_ID,Hydrologic_Soil_Group,K_Factor,Albedo,Time_to_Consolidation,Impervious_Depth,Specific_Gravity,Initial_Soil_Conditions_ID,Soil_Name,Soil_Texture,Number_of_Soil_Layers,Input_Units_Code
Aa,D,    0.0263,    0.3000,,,,,Alligator,Clay,     4,1
Ab,D,    0.0263,    0.3000,,,,,Alligator,Clay,     4,1
Ac,D,    0.0566,    0.3000,,,,,Alligator,Silt loam,     4,1
Ad,B,    0.0645,    0.4200,,,,,Dundee,Silt loam,    13,1
Ae,D,    0.0487,    0.3000,,,,,Alligator,Silty clay loam,     4,1
CaA,C,    0.0566,    0.3000,,,,,Unnamed hydric soils (134de),Silt loam,     6,1
CaB,D,    0.0566,    0.3000,,,,,Unnamed hydric soils (134de),Silt loam,     6,1
Cm,B,    0.0645,    0.3000,,,,,Collins,Silt loam,     5,1
Co,B,    0.0645,    0.3000,,,,,Collins,Silt loam,     5,1
CpF2,B,    0.0566,    0.3000,,,,,Unnamed hydric soils (134dr),Silt loam,     9,1
Do,D,    0.0316,    0.3000,,,,,Alligator,Silty clay,     4,1
Fa,B,    0.0566,    0.3000,,,,,Unnamed hydric soils (134fp),Silt loam,     4,1
Fl,B,    0.0566,    0.3000,,,,,Unnamed hydric soils (134fp),Silt loam,     4,1
Fs,B,    0.0566,    0.3000,,,,,Unnamed hydric soils (134fp),Silt loam,     4,1
Fw,B,    0.0566,    0.3000,,,,,Waverly,Silt loam,     4,1
GrA,C,    0.0645,    0.3000,,,,,Grenada,Silt loam,     8,1
GrB,C,    0.0645,    0.3000,,  690.0000,,,Grenada,Silt loam,     5,1
GrB2,C,    0.0645,    0.3000,,  610.0000,,,Grenada,Silt loam,     5,1
GrB3,C,    0.0645,    0.3000,,  690.0000,,,Grenada,Silt loam,     5,1
GrC2,C,    0.0645,    0.3000,,,,,Grenada,Silt loam,     5,1
GrC3,D,    0.0645,    0.3000,,,,,Grenada,Silt loam,     6,1
GrD2,C,    0.0645,    0.3000,,,,,Grenada,Silt loam,     5,1
GrD3,C,    0.0645,    0.3000,,,,,Grenada,Silt loam,     5,1
Gs,D,    0.0566,    0.3000,,,,,Unnamed hydric soils (133dr),Silt loam,     2,1
Gu,B,    0.0566,    0.3000,,,,,Unnamed hydric soils (134dr),Silt loam,     2,1
He,C,    0.0645,    0.3000,,  710.0000,,,Henry,Silt loam,     4,1
LoB2,C,    0.0566,    0.2900,,,,,Loring,Silt loam,    15,1
LoB3,C,    0.0645,    0.2900,,  610.0000,,,Loring,Silt loam,     4,1
LoC,B,    0.0566,    0.3000,,,,,Unnamed hydric soils (134dr),Silt loam,     6,1
LoC2,B,    0.0316,    0.2900,,,,,Smithdale,Sandy loam,    20,1
LoC3,C,    0.0645,    0.2900,,,,,Loring,Silt loam,    21,1
LoD,B,    0.0566,    0.3000,,,,,Unnamed hydric soils (134dr),Silt loam,     6,1
LoD2,B,    0.0566,    0.2300,,,,,Memphis,Silt loam,     9,1
LoD3,B,    0.0566,    0.2300,,,,,Memphis,Silt loam,     9,1
LoE2,D,    0.0645,    0.3000,,,,,Loring,Silt loam,     5,1
LoE3,D,    0.0724,    0.3000,,,,,Loring,Silt loam,     6,1
MeB2,C,    0.0645,    0.2900,,,,,Grenada,Silt loam,    12,1
MeB3,C,    0.0645,,,,,,Loring,Silt loam,    11,1
MeC3,B,    0.0566,    0.3000,,,,,Memphis,Silt loam,     5,1
MlF2,D,    0.0645,    0.3000,,,,,Loring,Silt loam,     7,1
MlF3,D,    0.0724,    0.3000,,,,,Loring,Silt loam,     8,1
MnF2,B,    0.0566,    0.3000,,,,,Memphis,Silt loam,    10,1
Mx,B,    0.0645,    0.3000,,,,,Collins,Silt loam,     7,1
RpE2,D,    0.0566,    0.3000,,,,,Unnamed hydric soils (133dr),Silt loam,    11,1
RpF2,D,    0.0566,    0.3000,,,,,Unnamed hydric soils (133dr),Silt loam,    11,1
Wa,B,    0.0566,    0.3000,,,,,Waverly,Silt loam,     2,1
